[0,   100]: loss: 2.336
[1,   100]: loss: 2.288
[2,   100]: loss: 2.252
[3,   100]: loss: 2.215
[4,   100]: loss: 2.156
[5,   100]: loss: 2.079
[6,   100]: loss: 1.977
[7,   100]: loss: 1.919
[8,   100]: loss: 1.822
[9,   100]: loss: 1.791
[10,   100]: loss: 1.739
[11,   100]: loss: 1.693
[12,   100]: loss: 1.643
[13,   100]: loss: 1.636
[14,   100]: loss: 1.578
[15,   100]: loss: 1.562
[16,   100]: loss: 1.522
[17,   100]: loss: 1.483
[18,   100]: loss: 1.419
[19,   100]: loss: 1.426
[20,   100]: loss: 1.392
[21,   100]: loss: 1.379
[22,   100]: loss: 1.302
[23,   100]: loss: 1.267
[24,   100]: loss: 1.244
[25,   100]: loss: 1.221
[26,   100]: loss: 1.169
[27,   100]: loss: 1.153
[28,   100]: loss: 1.106
[29,   100]: loss: 1.076
[30,   100]: loss: 1.033
[31,   100]: loss: 1.011
[32,   100]: loss: 0.937
[33,   100]: loss: 0.929
[34,   100]: loss: 0.874
[35,   100]: loss: 0.852
[36,   100]: loss: 0.782
[37,   100]: loss: 0.787
[38,   100]: loss: 0.711
[39,   100]: loss: 0.649
[40,   100]: loss: 0.616
[41,   100]: loss: 0.582
[42,   100]: loss: 0.548
[43,   100]: loss: 0.539
[44,   100]: loss: 0.470
[45,   100]: loss: 0.462
[46,   100]: loss: 0.401
[47,   100]: loss: 0.351
[48,   100]: loss: 0.326
[49,   100]: loss: 0.295
