[0,   100]: loss: 2.321
[1,   100]: loss: 2.006
[2,   100]: loss: 1.860
[3,   100]: loss: 1.786
[4,   100]: loss: 1.676
[5,   100]: loss: 1.582
[6,   100]: loss: 1.491
[7,   100]: loss: 1.414
[8,   100]: loss: 1.361
[9,   100]: loss: 1.277
[10,   100]: loss: 1.209
[11,   100]: loss: 1.099
[12,   100]: loss: 1.015
[13,   100]: loss: 0.912
[14,   100]: loss: 0.826
[15,   100]: loss: 0.718
[16,   100]: loss: 0.658
[17,   100]: loss: 0.561
[18,   100]: loss: 0.466
[19,   100]: loss: 0.365
[20,   100]: loss: 0.308
[21,   100]: loss: 0.243
[22,   100]: loss: 0.233
[23,   100]: loss: 0.230
[24,   100]: loss: 0.180
[25,   100]: loss: 0.143
[26,   100]: loss: 0.144
[27,   100]: loss: 0.109
[28,   100]: loss: 0.109
[29,   100]: loss: 0.127
[30,   100]: loss: 0.212
[31,   100]: loss: 0.140
[32,   100]: loss: 0.085
[33,   100]: loss: 0.081
[34,   100]: loss: 0.090
[35,   100]: loss: 0.080
[36,   100]: loss: 0.112
[37,   100]: loss: 0.139
[38,   100]: loss: 0.100
[39,   100]: loss: 0.060
[40,   100]: loss: 0.108
[41,   100]: loss: 0.148
[42,   100]: loss: 0.069
[43,   100]: loss: 0.059
[44,   100]: loss: 0.060
[45,   100]: loss: 0.070
[46,   100]: loss: 0.066
[47,   100]: loss: 0.099
[48,   100]: loss: 0.080
[49,   100]: loss: 0.083
