[0,   100]: loss: 2.303
[1,   100]: loss: 2.203
[2,   100]: loss: 2.066
[3,   100]: loss: 1.945
[4,   100]: loss: 1.853
[5,   100]: loss: 1.782
[6,   100]: loss: 1.721
[7,   100]: loss: 1.673
[8,   100]: loss: 1.614
[9,   100]: loss: 1.582
[10,   100]: loss: 1.562
[11,   100]: loss: 1.534
[12,   100]: loss: 1.467
[13,   100]: loss: 1.423
[14,   100]: loss: 1.383
[15,   100]: loss: 1.346
[16,   100]: loss: 1.336
[17,   100]: loss: 1.271
[18,   100]: loss: 1.232
[19,   100]: loss: 1.201
[20,   100]: loss: 1.155
[21,   100]: loss: 1.103
[22,   100]: loss: 1.079
[23,   100]: loss: 1.022
[24,   100]: loss: 0.985
[25,   100]: loss: 0.936
[26,   100]: loss: 0.929
[27,   100]: loss: 0.883
[28,   100]: loss: 0.793
[29,   100]: loss: 0.812
[30,   100]: loss: 0.759
[31,   100]: loss: 0.713
[32,   100]: loss: 0.675
[33,   100]: loss: 0.618
[34,   100]: loss: 0.573
[35,   100]: loss: 0.523
[36,   100]: loss: 0.492
[37,   100]: loss: 0.477
[38,   100]: loss: 0.417
[39,   100]: loss: 0.399
[40,   100]: loss: 0.346
[41,   100]: loss: 0.334
[42,   100]: loss: 0.292
[43,   100]: loss: 0.292
[44,   100]: loss: 0.281
[45,   100]: loss: 0.243
[46,   100]: loss: 0.210
[47,   100]: loss: 0.213
[48,   100]: loss: 0.166
[49,   100]: loss: 0.180
