[0,   100]: loss: 2.005
[1,   100]: loss: 1.588
[2,   100]: loss: 1.412
[3,   100]: loss: 1.267
[4,   100]: loss: 1.148
[5,   100]: loss: 1.063
[6,   100]: loss: 0.938
[7,   100]: loss: 0.856
[8,   100]: loss: 0.746
[9,   100]: loss: 0.646
[10,   100]: loss: 0.529
[11,   100]: loss: 0.443
[12,   100]: loss: 0.387
[13,   100]: loss: 0.293
[14,   100]: loss: 0.226
[15,   100]: loss: 0.215
[16,   100]: loss: 0.147
[17,   100]: loss: 0.179
[18,   100]: loss: 0.143
[19,   100]: loss: 0.119
[20,   100]: loss: 0.096
[21,   100]: loss: 0.103
[22,   100]: loss: 0.090
[23,   100]: loss: 0.087
[24,   100]: loss: 0.078
[25,   100]: loss: 0.074
[26,   100]: loss: 0.082
[27,   100]: loss: 0.073
[28,   100]: loss: 0.053
[29,   100]: loss: 0.071
[30,   100]: loss: 0.075
[31,   100]: loss: 0.059
[32,   100]: loss: 0.056
[33,   100]: loss: 0.038
[34,   100]: loss: 0.045
[35,   100]: loss: 0.070
[36,   100]: loss: 0.040
[37,   100]: loss: 0.034
[38,   100]: loss: 0.037
[39,   100]: loss: 0.043
[40,   100]: loss: 0.059
[41,   100]: loss: 0.041
[42,   100]: loss: 0.041
[43,   100]: loss: 0.043
[44,   100]: loss: 0.048
[45,   100]: loss: 0.040
[46,   100]: loss: 0.036
[47,   100]: loss: 0.029
[48,   100]: loss: 0.033
[49,   100]: loss: 0.043
