[0,   100]: loss: 2.440
[1,   100]: loss: 1.830
[2,   100]: loss: 1.687
[3,   100]: loss: 1.541
[4,   100]: loss: 1.435
[5,   100]: loss: 1.315
[6,   100]: loss: 1.217
[7,   100]: loss: 1.130
[8,   100]: loss: 1.064
[9,   100]: loss: 0.936
[10,   100]: loss: 0.881
[11,   100]: loss: 0.816
[12,   100]: loss: 0.761
[13,   100]: loss: 0.727
[14,   100]: loss: 0.627
[15,   100]: loss: 0.586
[16,   100]: loss: 0.506
[17,   100]: loss: 0.435
[18,   100]: loss: 0.417
[19,   100]: loss: 0.395
[20,   100]: loss: 0.356
[21,   100]: loss: 0.338
[22,   100]: loss: 0.267
[23,   100]: loss: 0.275
[24,   100]: loss: 0.240
[25,   100]: loss: 0.210
[26,   100]: loss: 0.196
[27,   100]: loss: 0.186
[28,   100]: loss: 0.169
[29,   100]: loss: 0.159
[30,   100]: loss: 0.141
[31,   100]: loss: 0.136
[32,   100]: loss: 0.187
[33,   100]: loss: 0.151
[34,   100]: loss: 0.128
[35,   100]: loss: 0.133
[36,   100]: loss: 0.121
[37,   100]: loss: 0.076
[38,   100]: loss: 0.133
[39,   100]: loss: 0.098
[40,   100]: loss: 0.149
[41,   100]: loss: 0.075
[42,   100]: loss: 0.112
[43,   100]: loss: 0.123
[44,   100]: loss: 0.110
[45,   100]: loss: 0.114
[46,   100]: loss: 0.069
[47,   100]: loss: 0.111
[48,   100]: loss: 0.092
[49,   100]: loss: 0.047
